requirement_id,title,phase,verification,tests,status,traceable,qualification,evidence
FDIR-002,Fault annunciation time,G8,fault_timing,T-FAULTTIME-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G8_FAULT_REPORT.md;ghost_sim_ros2/docs/GHOST_X_G8_FAULT_REPORT.json
RT-001,End-to-end latency,G9,timing_campaign,T-LATENCY-001,QUALIFIED_SOFTWARE_OR_BENCH_EVIDENCE,True,Evidence exists with explicit assumption and bench boundaries; physical truth or hard-real-time certification is not implied.,ghost_sim_ros2/docs/GHOST_X_G9_RUNTIME_REPORT.md;ghost_sim_ros2/docs/GHOST_X_G9_RUNTIME_REPORT.json
RT-002,Publication deadline and jitter,G9,timing_campaign,T-JITTER-001,QUALIFIED_SOFTWARE_OR_BENCH_EVIDENCE,True,Evidence exists with explicit assumption and bench boundaries; physical truth or hard-real-time certification is not implied.,ghost_sim_ros2/docs/GHOST_X_G9_RUNTIME_REPORT.md;ghost_sim_ros2/docs/GHOST_X_G9_RUNTIME_REPORT.json
RT-003,Resource and thermal evidence,G9,resource_campaign,T-RESOURCE-001,QUALIFIED_SOFTWARE_OR_BENCH_EVIDENCE,True,Evidence exists with explicit assumption and bench boundaries; physical truth or hard-real-time certification is not implied.,ghost_sim_ros2/docs/GHOST_X_G9_RUNTIME_REPORT.md;ghost_sim_ros2/docs/GHOST_X_G9_RUNTIME_REPORT.json
REP-001,Canonical deterministic replay,G10,ci_replay,T-REPLAY-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G10_CI_REPORT.md;ghost_sim_ros2/docs/GHOST_X_G10_CI_REPORT.json;.github/workflows/ghost-x-regression.yml
REP-002,Regression rejection,G10,negative_ci_test,T-CI-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G10_CI_REPORT.md;ghost_sim_ros2/docs/GHOST_X_G10_CI_REPORT.json;.github/workflows/ghost-x-regression.yml
SW-001,Modern C++ estimator library,G5,build_test_and_review,T-CPP-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G5_CPP_LIBRARY.md;ghost_sim_ros2/docs/GHOST_X_G5_EQUIVALENCE.json;ghost_sim_ros2/docs/GHOST_X_G5_VALIDATION.json
SW-002,Software assurance,G5,ci_assurance,T-ASSURE-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G5_CPP_LIBRARY.md;ghost_sim_ros2/docs/GHOST_X_G5_EQUIVALENCE.json;ghost_sim_ros2/docs/GHOST_X_G5_VALIDATION.json
CLM-001,Claim traceability,G12,traceability_audit,T-CLAIM-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_FINAL_RESEARCH_PACKAGE.md;ghost_sim_ros2/docs/GHOST_X_FAILURE_GALLERY.md;ghost_sim_ros2/docs/GHOST_X_APPROVED_CLAIMS.md
CLM-002,Public failure gallery,G12,release_review,T-FAILGALLERY-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_FINAL_RESEARCH_PACKAGE.md;ghost_sim_ros2/docs/GHOST_X_FAILURE_GALLERY.md;ghost_sim_ros2/docs/GHOST_X_APPROVED_CLAIMS.md
